what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1291369897196
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1291369897204
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1291369897245
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1291369897261
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1291369897288
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1291369897288
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1291369897318
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1291369897319
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1291369897409
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1291369897423
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1291369897435
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1291369897445
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1291369897449
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.0.v201005250108,"org.eclipse.wst.jsdt.debug.ui",1291369897462
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1291369897463
os,sysinfo,,,"linux",1291369897508
arch,sysinfo,,,"x86",1291369897508
ws,sysinfo,,,"gtk",1291369897508
locale,sysinfo,,,"en_IN",1291369897508
processors,sysinfo,,,"2",1291369897508
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1291369897508
java.runtime.version,sysinfo,,,"1.6.0_20-b20",1291369897508
java.specification.name,sysinfo,,,"Java Platform API Specification",1291369897508
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1291369897508
java.specification.version,sysinfo,,,"1.6",1291369897508
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1291369897508
java.version,sysinfo,,,"1.6.0_20",1291369897508
java.vm.info,sysinfo,,,"mixed mode, sharing",1291369897508
java.vm.name,sysinfo,,,"OpenJDK Client VM",1291369897508
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1291369897508
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1291369897508
java.vm.specification.version,sysinfo,,,"1.0",1291369897508
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1291369897508
java.vm.version,sysinfo,,,"19.0-b09",1291369897508
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1291369897529
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1291369897630
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1291369897723
started,bundle,org.eclipse.emf.ecore,2.6.0.v20100614-1136,"org.eclipse.emf.ecore",1291369897807
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1291369898037
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1291369898198
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1291369898285
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1291369898704
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1291369898859
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1291369898962
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1291369898974
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.100.v201004202202,"org.eclipse.jst.common.project.facet.core",1291369898986
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.0.v201005191955,"org.eclipse.jst.ws.jaxrs.core",1291369899025
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1291369899164
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1291369899219
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1291369899277
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1291369899421
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1291369899444
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291369952688
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291369963562
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291371840477
opened,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavadocView",1291371845120
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavadocView",1291371845159
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291371891681
