what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291398214272
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291398214474
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291398214623
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291398214768
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291398214924
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291398215309
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291398215569
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291398215848
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291398216305
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291398216643
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291398219450
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291398219947
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291398219985
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291398220020
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291398220059
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291398220080
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291398220114
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291398220147
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291398220182
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291398220363
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291398220545
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291398220664
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291398220806
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291398221081
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291398221237
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291398221407
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291398221775
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291398222122
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291398222373
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291398222683
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291398223109
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291398223689
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1291398226537
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291398233175
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291398234044
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291398234416
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291398234458
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291398259081
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291398274535
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291398278485
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1291398303773
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291398307268
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1291398309355
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291398309395
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291398318241
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291398376655
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291398385899
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291398407820
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291398433103
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291398538195
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291398557893
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291398566206
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291398599594
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291398604667
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291398605851
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1291398638294
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291398640071
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291398749168
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291398755334
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1291398758002
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291398758083
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291398776977
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291398909108
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1291398920994
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291398923643
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1291398925265
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291398925340
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291398929212
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1291398931838
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291398931912
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291398933429
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291398934797
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291398935432
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291398937962
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291398941050
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291399046477
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1291399070319
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291399074328
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1291399076497
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291399076582
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291399090082
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291399140758
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1291399156611
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291399164335
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1291399166339
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291399166402
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291399171061
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291399172868
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291399174240
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291399176163
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291399177131
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291399348767
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291399365344
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291399452675
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291399473496
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291400029129
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291400031670
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291400483757
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291400488943
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1291400491054
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291400491094
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291400501492
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291400612608
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291400615284
