what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1291445418042
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1291445418065
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1291445418171
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1291445418188
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1291445418192
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1291445418192
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1291445418232
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1291445418233
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1291445418260
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1291445418272
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1291445418284
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1291445418295
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1291445418332
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.0.v201005250108,"org.eclipse.wst.jsdt.debug.ui",1291445418350
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1291445418375
os,sysinfo,,,"linux",1291445418399
arch,sysinfo,,,"x86",1291445418399
ws,sysinfo,,,"gtk",1291445418399
locale,sysinfo,,,"en_IN",1291445418399
processors,sysinfo,,,"2",1291445418399
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1291445418399
java.runtime.version,sysinfo,,,"1.6.0_20-b20",1291445418399
java.specification.name,sysinfo,,,"Java Platform API Specification",1291445418399
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1291445418399
java.specification.version,sysinfo,,,"1.6",1291445418399
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1291445418399
java.version,sysinfo,,,"1.6.0_20",1291445418399
java.vm.info,sysinfo,,,"mixed mode, sharing",1291445418399
java.vm.name,sysinfo,,,"OpenJDK Client VM",1291445418400
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1291445418400
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1291445418400
java.vm.specification.version,sysinfo,,,"1.0",1291445418400
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1291445418400
java.vm.version,sysinfo,,,"19.0-b09",1291445418400
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1291445418404
started,bundle,org.eclipse.emf.common,2.6.0.v20100614-1136,"org.eclipse.emf.common",1291445418549
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1291445418663
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1291445418822
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1291445418825
started,bundle,org.eclipse.emf.ecore,2.6.0.v20100614-1136,"org.eclipse.emf.ecore",1291445418911
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1291445419109
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1291445419298
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1291445419389
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1291445419447
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1291445419843
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1291445419967
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.100.v201004202202,"org.eclipse.jst.common.project.facet.core",1291445419982
