what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291323849901
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291323854389
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291323857277
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291323863346
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1291323866567
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291323866631
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291323870057
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291324388207
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291324401288
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291324409778
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291324415058
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291324426178
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291324444572
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.0.v201004262257,"org.eclipse.jst.ws.jaxws.ui",1291324464284
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1291324464379
started,bundle,org.eclipse.pde.api.tools,1.0.201.v20100602-0930,"org.eclipse.pde.api.tools",1291324464682
started,bundle,org.eclipse.pde.api.tools.ui,1.0.200.v20100601-1815,"org.eclipse.pde.api.tools.ui",1291324464694
started,bundle,org.eclipse.jst.ws.annotations.core,1.0.0.v201004262257,"org.eclipse.jst.ws.annotations.core",1291324465243
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291324678633
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291324684913
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291324696400
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291324700280
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291324748004
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291324750374
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291324752132
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291325441295
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1291325447238
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291325454196
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1291325470956
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291325471014
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291325484546
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1291325496026
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291325496077
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291325502307
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291325510155
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291325511050
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291325549955
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291325551613
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291325590996
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291325614469
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291325616437
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1291325623841
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291325626538
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291325728254
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1291325742655
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291325848102
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291325921409
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291325928603
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291325938612
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291325958409
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291325960480
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291325966968
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291325973991
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291325974242
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291326006490
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291326011353
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291326017690
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291326023744
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291326024778
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1291326042953
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1291326050772
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1291326194073
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.showInformation",1291326231046
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291326231056
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291326236116
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291326260624
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291326312539
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291326323456
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291326324464
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1291326327930
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291326341475
