what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1291386164741
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291386164765
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291386174343
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291386275338
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291386283837
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1291386286126
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291386286157
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291386295989
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291386354450
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291386357672
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1291386360146
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291386360169
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291386362610
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291386480009
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291386483466
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291386483606
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291386483606
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291386493739
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291386494311
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291386494482
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291386494505
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291386572475
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291386572675
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291386572675
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291386574631
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291386575169
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291386575342
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291386586464
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291386586464
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291386588014
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291386588616
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291386589024
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291386589048
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291386601433
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1291386603922
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291386604020
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291386610530
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291386612883
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291386614004
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291386650887
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291386738495
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291386738642
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291386738642
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291386740363
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291386741003
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291386741181
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291386741203
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291386819316
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291386819493
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291386819518
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291386837062
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291386837242
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291386837265
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291386853559
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291387121362
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291387165554
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1291387253852
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291387255455
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291387260897
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291387534541
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291387561747
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291387573103
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291387819356
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291388054549
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291388105462
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291388541560
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291388549028
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.DebugLast",1291388551265
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291388551316
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291388553968
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1291388555090
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291388555124
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291388564802
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291388641410
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.SourceView",1291388651822
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavadocView",1291388653151
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1291388655279
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1291388664328
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291388669017
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291388690110
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291388692891
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1291388712693
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291388760768
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1291388764098
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291388764149
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291388773665
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291388776278
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291388797943
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291388810746
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291388813117
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291388968940
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291388974412
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291389018337
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291389167907
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291389201622
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291389213858
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291389236923
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291389544905
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1291389547043
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291389547077
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291389548085
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291389552378
